Año	Título	Corpus estilométrico
1963	Déjame vivir	Sí
1963	Dudas	Sí
1963	El destino de Paula	No
1963	El destino la esperaba	No
1963	El destino no perdona	Sí
1963	El drama de Maylen	No
1963	El maestro	No
1963	El secreto de Ana	No
1963	Ella y los hombres	No
1963	Ella y su jefe	Sí
1963	Entre marido y mujer	Sí
1963	Eres el mismo	Sí
1963	Esperaba por ti	Sí
1963	Fuimos diferentes	No
1963	Hasta aquel día	No
1963	He vuelto	No
1963	La espera y el triunfo	No
1963	La otra	Sí
1963	La prometida de Clint	Sí
1963	Las dos familias	Sí
1963	Lo encontré así	No
1963	Lo sabía	Sí
1963	Los gemelos	Sí
1963	Maricé tiene novio	Sí
1963	Misterio inexistente	Sí
1963	No debo quererte	Sí
1963	No permitas que te ofenda	Sí
1963	No puedo odiarte	Sí
1963	No te engañé	No
1963	Obligada esclavitud	Sí
1963	Odio a mi cuñado	No
1963	Olvídalo	Sí
1963	Orgullo sin venganza	Sí
1963	Perdóname	Sí
1963	Quiero casarme	No
1963	Recuerdo del pasado	Sí
1963	Siempre fue así	Sí
1963	Sin compromiso	No
1963	Solo supe quererte	Sí
1963	Susana	Sí
1963	Te amo	Sí
1963	Te casarás conmigo	Sí
1963	Te haré feliz	Sí
1963	Tres amores	Sí
1963	Un hombre extraño	No
1963	Una esposa para él	No
1963	Volveré aquí	Sí
1963	Yo no tengo la culpa	Sí
1964	¡Respetad a esa mujer!	No
1964	…Y llegó ella	No
1964	Adiós, Susana	Sí
1964	Ahora no te quiero	Sí
1964	Aquella calumnia	Sí
1964	Bendita tú	No
1964	Como me lo contaron	Sí
1964	Deja que te ame	Sí
1964	Dime la verdad	No
1964	El destino de una huida	Sí
1964	El pecado de Sofía	Sí
1964	Empezó sin querer	Sí
1964	Empieza ahora	Sí
1964	Encontré a mi mujer	Sí
1964	Es inútil que me quieras	No
1964	Felicidad	Sí
1964	Futuro incierto	Sí
1964	«In articulo mortis»	Sí
1964	Inquietudes	Sí
1964	La encontré por ser celoso	Sí
1964	La esposa de mi hermano	Sí
1964	Luz roja para el amor	Sí
1964	Mag se casó	Sí
1964	Me casé con ella	No
1964	Mi adorable embustera	No
1964	Mi adorada pueblerina	Sí
1964	Mi boda contigo	Sí
1964	Mi esposo me abandona	Sí
1964	Mi frívola esposa	Sí
1964	Mi mala intención	Sí
1964	Mi marido me espera	Sí
1964	Mi marido me olvidó	No
1964	No quiero volver a verte	Sí
1964	No quisiera amarte	Sí
1964	No seas orgulloso	Sí
1964	No te enamores, muchacha	Sí
1964	No te juzgo	Sí
1964	No te vi	No
1964	Nos casaremos	Sí
1964	Nunca olvidé	No
1964	Olvídame, Paula	Sí
1964	Orgullo y soberbia	Sí
1964	Otra vez contigo	Sí
1964	Papá y su novia	Sí
1964	Por compasión, no	Sí
1964	Problema familiar	Sí
1964	Quiero casarme con ella	Sí
1964	Recuerdo perdurable	Sí
1964	Redimida	No
1964	Secreto matrimonial	Sí
1964	Sin piedad	Sí
1964	Su alteza ha llegado	No
1964	Su Alteza Real	No
